error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD1031-SV-001,SD1031,injected,SV,MS200095-0022-VISION-DEU_SITE01-0004,16,set_invalid_value,"{""SVENRF"": {""original"": """", ""injected"": ""DURING""}}",,
INJ-SD1031-DS-002,SD1031,injected,DS,MS200095-0022-VISION-JPN_SITE02-0020,45,set_invalid_value,"{""DSENRF"": {""original"": """", ""injected"": ""DURING""}}",,
INJ-SD1031-IE-003,SD1031,injected,IE,MS200095-0022-VISION-JPN_SITE02-0020,1,set_invalid_value,"{""IEENRF"": {""original"": """", ""injected"": ""DURING""}}",,
INJ-SD1368-SM-001,SD1368,injected,SM,MS200095-0022-VISION-ITA_SITE01-0011,7,blank_field,"{""SMSTDTC"": {""original"": ""2022-01-31"", ""injected"": """"}}",,
INJ-SD0067-SE-001,SD0067,injected,SE,MS200095-0022-VISION-USA_SITE01-0007,37,cross_domain_mismatch,"{""ETCD"": {""original"": ""TRT"", ""injected"": ""ZZZSD0067""}}",,
INJ-SD0067-SE-002,SD0067,injected,SE,MS200095-0022-VISION-ITA_SITE01-0011,18,cross_domain_mismatch,"{""ETCD"": {""original"": ""SCRN"", ""injected"": ""ZZZSD0067""}}",,
INJ-SD1012-SE-001,SD1012,injected,SE,MS200095-0022-VISION-FRA_SITE01-0003,8,cross_domain_mismatch,"{""ELEMENT"": {""original"": ""Screening"", ""injected"": ""ZZZSD1012""}}",,
INJ-SD1012-SE-002,SD1012,injected,SE,MS200095-0022-VISION-JPN_SITE02-0012,29,cross_domain_mismatch,"{""ELEMENT"": {""original"": ""30-day safety FU"", ""injected"": ""ZZZSD1012""}}",,
INJ-SD1027-SE-001,SD1027,injected,SE,MS200095-0022-VISION-JPN_SITE01-0016,22,duplicate_with_mutation,"{""ELEMENT"": {""original"": ""Treatment (cycles)"", ""injected"": ""DUP_X""}}",,
INJ-SD1027-SE-002,SD1027,injected,SE,MS200095-0022-VISION-USA_SITE02-0014,42,duplicate_with_mutation,"{""ELEMENT"": {""original"": ""Screening"", ""injected"": ""DUP_X""}}",,
INJ-SD0019-TS-001,SD0019,injected,TS,,0,set_invalid_value,"{""TSPARM"": {""original"": ""Actual Number of Subjects"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-002,SD0019,injected,TS,,1,set_invalid_value,"{""TSPARM"": {""original"": ""Adaptive Design"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-003,SD0019,injected,TS,,2,set_invalid_value,"{""TSPARM"": {""original"": ""Added on to Existing Treatments"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-004,SD0019,injected,TS,,3,set_invalid_value,"{""TSPARM"": {""original"": ""Planned Maximum Age of Subjects"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-005,SD0019,injected,TS,,4,set_invalid_value,"{""TSPARM"": {""original"": ""Planned Minimum Age of Subjects"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-006,SD0019,injected,TS,,5,set_invalid_value,"{""TSPARM"": {""original"": ""Data Cutoff Description"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-007,SD0019,injected,TS,,6,set_invalid_value,"{""TSPARM"": {""original"": ""Data Cutoff Date"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-008,SD0019,injected,TS,,7,set_invalid_value,"{""TSPARM"": {""original"": ""Extension Trial Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-009,SD0019,injected,TS,,8,set_invalid_value,"{""TSPARM"": {""original"": ""Planned Country of Investigational Sites"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-010,SD0019,injected,TS,,9,set_invalid_value,"{""TSPARM"": {""original"": ""Healthy Subject Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-011,SD0019,injected,TS,,10,set_invalid_value,"{""TSPARM"": {""original"": ""Trial Disease/Condition Indication"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-012,SD0019,injected,TS,,11,set_invalid_value,"{""TSPARM"": {""original"": ""Intervention Model"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-013,SD0019,injected,TS,,12,set_invalid_value,"{""TSPARM"": {""original"": ""Intervention Type"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-014,SD0019,injected,TS,,13,set_invalid_value,"{""TSPARM"": {""original"": ""Trial Length"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-015,SD0019,injected,TS,,14,set_invalid_value,"{""TSPARM"": {""original"": ""Planned Number of Arms"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-016,SD0019,injected,TS,,15,set_invalid_value,"{""TSPARM"": {""original"": ""Number of Groups/Cohorts"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-017,SD0019,injected,TS,,16,set_invalid_value,"{""TSPARM"": {""original"": ""Trial Primary Objective"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-018,SD0019,injected,TS,,17,set_invalid_value,"{""TSPARM"": {""original"": ""Trial Secondary Objective"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-019,SD0019,injected,TS,,18,set_invalid_value,"{""TSPARM"": {""original"": ""Ongoing Study Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-020,SD0019,injected,TS,,19,set_invalid_value,"{""TSPARM"": {""original"": ""Primary Outcome Measure"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-021,SD0019,injected,TS,,20,set_invalid_value,"{""TSPARM"": {""original"": ""Pharmacologic Class"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-022,SD0019,injected,TS,,21,set_invalid_value,"{""TSPARM"": {""original"": ""Pediatric Postmarket Study Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-023,SD0019,injected,TS,,22,set_invalid_value,"{""TSPARM"": {""original"": ""Pediatric Study Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
INJ-SD0019-TS-024,SD0019,injected,TS,,23,set_invalid_value,"{""TSPARM"": {""original"": ""Pediatric Investigation Plan Indicator"", ""injected"": ""ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789101112""}}",,
